"material_no","type","sort_id","name","rarity","transition1","transition2","transition3","transition4","transition5","transition6","compose_equipment1","compose_equipment2","compose_equipment3","compose_equipment4","compose_equipment5","compose_equipment6","description","price"
"MTR10213","1","237","强袭装甲卷轴","3","NMD00049","ELD00039","","","","","EQP00073","","","","","","","400"
"MTR10214","1","238","暴击猎枪卷轴","3","NMD00050","ELD00039","","","","","EQP00003","","","","","","","1000"
"MTR10215","1","239","恶魔系带卷轴","3","NMD00050","ELD00040","SPD00008","","","","EQP00074","","","","","","","1000"
"MTR10216","1","240","冰刺长矛卷轴","3","NMD00052","ELD00042","","","","","EQP00075","","","","","","","3000"
"MTR10217","1","241","月神祝福卷轴","3","NMD00069","ELD00043","SPD00011","","","","EQP00076","","","","","","","1000"
"MTR10218","1","242","碧空长歌卷轴","3","NMD00070","ELD00034","","","","","EQP00077","","","","","","","2050"
"MTR10219","1","243","至尊二戒卷轴","3","NMD00072","ELD00036","","","","","EQP00078","","","","","","","5350"
"MTR10220","1","244","救赎卷轴","3","NMD00073","ELD00037","SPD00011","","","","EQP00079","","","","","","","1000"
"MTR10221","1","245","灵魂之书卷轴","3","NMD00073","ELD00038","","","","","EQP00080","","","","","","","2150"
"MTR10222","1","246","粉碎之力卷轴","3","NMD00065","ELD00029","","","","","EQP00081","","","","","","","7800"
"MTR10223","1","247","氪金重枪卷轴","3","NMD00065","ELD00030","","","","","EQP00082","","","","","","","7900"
"MTR10224","1","248","氪金圣剑卷轴","3","NMD00066","ELD00030","","","","","EQP00083","","","","","","","1000"
"MTR10225","1","249","兄弟会之剑卷轴","3","NMD00066","ELD00031","","","","","EQP00084","","","","","","","2300"
"MTR10226","1","250","蛇杖卷轴","3","NMD00067","ELD00032","SPD00009","","","","EQP00085","","","","","","","1000"
"MTR10227","1","251","背叛者眼罩卷轴","3","NMD00068","ELD00032","","","","","EQP00086","","","","","","","8350"
"MTR10228","1","252","不动之印卷轴","4","NMD00060","ELD00049","","","","","EQP00087","","","","","","","6250"
"MTR10229","1","253","全见者卷轴","4","NMD00060","ELD00049","","","","","EQP00088","","","","","","","8550"
"MTR10230","1","254","岩石之心卷轴","4","NMD00060","ELD00050","","","","","EQP00089","","","","","","","7700"
"MTR10231","1","255","饮血者卷轴","4","NMD00061","ELD00050","","","","","EQP00090","","","","","","","7700"
"MTR10232","1","256","永恒之赐卷轴","4","NMD00061","ELD00050","","","","","EQP00091","","","","","","","8550"
"MTR10233","1","257","急性鞋卷轴","3","NMD00062","ELD00051","","","","","EQP00092","","","","","","","6250"
"MTR10234","1","258","赛特圣甲虫卷轴","4","NMD00063","ELD00052","","","","","EQP00093","","","","","","","7200"
"MTR10235","1","259","罗克迪手杖卷轴","4","NMD00054","ELD00053","","","","","EQP00094","","","","","","","7250"
"MTR10236","1","260","毁灭利刃卷轴","4","NMD00055","ELD00069","SPD00009","","","","EQP00095","","","","","","","1000"
"MTR10237","1","261","荷鲁斯之眼卷轴","4","NMD00057","ELD00071","","","","","EQP00096","","","","","","","7000"
"MTR10238","1","262","咒逐卷轴","4","NMD00074","ELD00073","","","","","EQP00097","","","","","","","8350"
"MTR10239","1","263","灰烬使者卷轴","4","NMD00074","ELD00073","","","","","EQP00098","","","","","","","12500"
"MTR10240","1","264","所罗门宝藏卷轴","4","NMD00076","ELD00065","","","","","EQP00099","","","","","","","7700"
"MTR10241","1","265","赫尔神使杖卷轴","4","NMD00076","ELD00066","","","","","EQP00100","","","","","","","8700"
"MTR10242","1","266","尼伯龙根卷轴","4","NMD00077","ELD00066","","","","","EQP00101","","","","","","","1000"
"MTR10243","1","267","朗基姆斯卷轴","4","ELD00059","","","","","","EQP00102","","","","","","","17500"
"MTR10244","1","268","欧西里天平卷轴","4","ELD00061","","","","","","EQP00103","","","","","","","1000"
"MTR10245","1","269","誓约胜利剑卷轴","4","ELD00062","","","","","","EQP00104","","","","","","","18000"
"MTR10246","1","270","美杜莎之盾卷轴","4","ELD00054","","","","","","EQP00105","","","","","","","6000"
"MTR10247","1","271","雷神之锤卷轴","4","ELD00056","","","","","","EQP00106","","","","","","","2750"
"MTR10248","1","272","炎魔之锤卷轴","4","ELD00056","","","","","","EQP00107","","","","","","","1000"
"MTR10249","1","273","乃锤卷轴","4","ELD00057","","","","","","EQP00108","","","","","","","6000"
"MTR10250","1","274","雷霆之怒卷轴","4","ELD00074","","","","","","EQP00109","","","","","","","1000"
"MTR10251","1","275","守护传说杖卷轴","4","ELD00074","","","","","","EQP00110","","","","","","","1000"
"MTR10252","1","276","群星之怒卷轴","4","ELD00076","","","","","","EQP00111","","","","","","","1000"
"MTR10253","1","277","蛋刀卷轴","4","ELD00077","","","","","","EQP00112","","","","","","","1000"
"MTR10254","1","278","龙之父卷轴","4","ELD00077","","","","","","EQP00113","","","","","","","1000"
"MTR10255","1","279","橙斧卷轴","4","ELD00078","","","","","","EQP00114","","","","","","","1000"
"MTR10256","1","280","蓝龙寄魂杖卷轴","4","ELD00078","","","","","","EQP00115","","","","","","","1000"
"MTR10257","1","281","残破木轮","1","NMD00019","","","","","","EQP00005","EQP00007","","","","","","1000"
"MTR10258","1","282","兔毛","1","NMD00020","","","","","","EQP00008","","","","","","","1000"
"MTR10259","1","283","恐惧之眼","2","NMD00046","ELD00010","","","","","EQP00038","EQP00058","","","","","","450"
"MTR10260","1","284","咒书书壳","2","NMD00028","ELD00018","","","","","EQP00044","","","","","","","1000"
"MTR10261","1","285","小恶魔尾","1","NMD00014","","","","","","EQP00014","","","","","","","1000"
"MTR10262","1","286","神兔之啮","3","NMD00037","ELD00026","","","","","EQP00065","","","","","","","2050"
"MTR10263","1","287","望远镜片","2","NMD00009","","","","","","EQP00026","","","","","","","1550"
"MTR10264","1","288","三叉戟","2","NMD00008","ELD00023","SPD00010","","","","EQP00039","","","","","","","1000"
"MTR10265","1","289","爆炎魔瓶","3","NMD00064","ELD00038","","","","","EQP00080","","","","","","","2150"
"MTR10266","1","290","烈性炸药","2","NMD00005","ELD00019","","","","","EQP00036","","","","","","","1000"
"MTR10267","1","291","古树树皮","3","ELD00075","","","","","","EQP00110","EQP00112","","","","","","1000"
"MTR10268","1","292","熔火核心","4","ELD00057","","","","","","EQP00107","","","","","","","1000"
"MTR10269","1","293","熔火肩甲","3","ELD00078","","","","","","EQP00113","","","","","","","1000"
"MTR10270","1","294","古树花蕾","4","ELD00061","","","","","","EQP00099","EQP00108","","","","","","1000"
"MTR10271","1","295","无面触手","3","NMD00077","ELD00066","","","","","EQP00100","","","","","","","1000"
"MTR10272","1","296","穹顶钉锤","4","ELD00057","","","","","","EQP00107","","","","","","","1000"
"MTR10273","1","297","古树躯干","2","NMD00018","","","","","","EQP00023","EQP00024","EQP00025","","","","","1000"
"MTR10274","4","298","龙蛋","2","","","","","","","","","","","","","小小的龙蛋，承载着大大的致富梦想。","1000"
"MTR10275","4","299","小金龙","3","","","","","","","","","","","","","小金龙再怎么长大， 也变不了大金龙。","10000"
"MTR10276","4","300","大金龙","4","","","","","","","","","","","","","没有大金龙，怎么见丈母娘。","50000"
